strName,strDistrict,strState,chrStatus
673604,KOZHIKODE,KERALA,N
673604,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673016,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673604,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673003,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673611,KOZHIKODE,KERALA,N
673604,KOZHIKODE,KERALA,N
673016,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673023,KOZHIKODE,KERALA,N
673583,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673586,KOZHIKODE,KERALA,N
673617,KOZHIKODE,KERALA,N
673009,KOZHIKODE,KERALA,N
673601,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673604,KOZHIKODE,KERALA,N
673534,KOZHIKODE,KERALA,N
673007,KOZHIKODE,KERALA,N
673328,KOZHIKODE,KERALA,N
673012,KOZHIKODE,KERALA,N
673661,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673611,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673585,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673011,KOZHIKODE,KERALA,N
673027,KOZHIKODE,KERALA,N
673613,KOZHIKODE,KERALA,N
673585,KOZHIKODE,KERALA,N
673601,KOZHIKODE,KERALA,N
673010,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673016,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673601,KOZHIKODE,KERALA,N
673586,KOZHIKODE,KERALA,N
673025,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673611,KOZHIKODE,KERALA,N
673602,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673019,KOZHIKODE,KERALA,N
673012,KOZHIKODE,KERALA,N
673585,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673001,KOZHIKODE,KERALA,N
673009,KOZHIKODE,KERALA,N
673613,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673661,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673026,KOZHIKODE,KERALA,N
673631,KOZHIKODE,KERALA,N
673024,KOZHIKODE,KERALA,N
673571,KOZHIKODE,KERALA,N
673013,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673604,KOZHIKODE,KERALA,N
673008,KOZHIKODE,KERALA,N
673586,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673585,KOZHIKODE,KERALA,N
673585,KOZHIKODE,KERALA,N
673303,KOZHIKODE,KERALA,N
673021,KOZHIKODE,KERALA,N
673004,KOZHIKODE,KERALA,N
673572,KOZHIKODE,KERALA,N
673633,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673003,KOZHIKODE,KERALA,N
673006,KOZHIKODE,KERALA,N
673002,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673573,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673580,KOZHIKODE,KERALA,N
673004,KOZHIKODE,KERALA,N
673603,KOZHIKODE,KERALA,N
673029,KOZHIKODE,KERALA,N
